Epoch	Stage	Loss	Sensitivity	Specificity	AUC - promoter active	AUC - nonpromoter active	AUC - promoter inactive	AUC - nonpromoter inactive
28	valid	1.08, 1.42, 1.42, 1.17	0.98, 0.00, 0.00, 0.74	0.38, 1.00, 1.00, 0.87	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.87, 0.83, 0.81, 0.84
29	train	1.08, 1.40, 1.40, 1.10	0.99, 0.00, 0.00, 0.87	0.35, 1.00, 1.00, 0.93	0.94, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.94, 0.93, 0.91, 0.93
29	valid	1.08, 1.41, 1.41, 1.19	0.99, 0.00, 0.00, 0.69	0.31, 1.00, 1.00, 0.92	0.93, 0.92, 0.93, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.84, 0.82, 0.80, 0.82
30	train	1.08, 1.40, 1.40, 1.10	0.99, 0.00, 0.00, 0.88	0.35, 1.00, 1.00, 0.94	0.94, 0.94, 0.94, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.94, 0.93, 0.92, 0.93
30	valid	1.07, 1.42, 1.41, 1.20	0.99, 0.00, 0.00, 0.66	0.29, 1.00, 1.00, 0.93	0.94, 0.92, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.83, 0.81, 0.79, 0.81
31	train	1.08, 1.40, 1.40, 1.09	0.99, 0.00, 0.00, 0.88	0.34, 1.00, 1.00, 0.94	0.94, 0.93, 0.94, 0.95	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.94, 0.93, 0.92, 0.93
31	valid	1.11, 1.41, 1.41, 1.17	0.97, 0.00, 0.00, 0.71	0.34, 1.00, 1.00, 0.90	0.92, 0.90, 0.91, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.84, 0.82, 0.80, 0.82
32	train	1.08, 1.40, 1.40, 1.09	0.99, 0.00, 0.00, 0.88	0.34, 1.00, 1.00, 0.94	0.94, 0.94, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.94, 0.93, 0.92, 0.93
32	valid	1.10, 1.42, 1.43, 1.13	0.95, 0.00, 0.00, 0.83	0.49, 1.00, 1.00, 0.79	0.92, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.90, 0.86, 0.83, 0.86
33	train	1.08, 1.40, 1.40, 1.09	0.99, 0.00, 0.00, 0.88	0.34, 1.00, 1.00, 0.95	0.95, 0.94, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.94, 0.93, 0.92, 0.93
33	valid	1.09, 1.42, 1.42, 1.15	0.97, 0.00, 0.00, 0.78	0.43, 1.00, 1.00, 0.83	0.92, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.88, 0.84, 0.81, 0.85
34	train	1.08, 1.40, 1.40, 1.09	1.00, 0.00, 0.00, 0.88	0.34, 1.00, 1.00, 0.95	0.94, 0.94, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.94, 0.93, 0.92, 0.93
34	valid	1.09, 1.41, 1.41, 1.18	0.98, 0.00, 0.00, 0.71	0.33, 1.00, 1.00, 0.90	0.93, 0.91, 0.93, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.85, 0.82, 0.80, 0.82
35	train	1.07, 1.40, 1.40, 1.09	0.99, 0.00, 0.00, 0.88	0.34, 1.00, 1.00, 0.95	0.95, 0.94, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.94, 0.93, 0.92, 0.93
35	valid	1.10, 1.42, 1.42, 1.14	0.97, 0.00, 0.00, 0.79	0.43, 1.00, 1.00, 0.84	0.92, 0.91, 0.92, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.89, 0.84, 0.82, 0.85
36	train	1.07, 1.40, 1.40, 1.09	1.00, 0.00, 0.00, 0.89	0.34, 1.00, 1.00, 0.95	0.95, 0.94, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.94, 0.94, 0.93, 0.94
36	valid	1.11, 1.41, 1.41, 1.19	0.98, 0.00, 0.00, 0.67	0.30, 1.00, 1.00, 0.92	0.91, 0.90, 0.91, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.83, 0.80, 0.79, 0.81
37	train	1.07, 1.40, 1.40, 1.09	1.00, 0.00, 0.00, 0.89	0.33, 1.00, 1.00, 0.96	0.95, 0.94, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.94, 0.94, 0.93, 0.94
37	valid	1.10, 1.41, 1.40, 1.19	0.98, 0.00, 0.00, 0.65	0.29, 1.00, 1.00, 0.93	0.92, 0.90, 0.91, 0.93	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.82, 0.80, 0.79, 0.80
38	train	1.07, 1.40, 1.40, 1.09	1.00, 0.00, 0.00, 0.89	0.33, 1.00, 1.00, 0.96	0.95, 0.94, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.94, 0.94, 0.93, 0.94
38	valid	1.09, 1.41, 1.41, 1.18	0.98, 0.00, 0.00, 0.70	0.33, 1.00, 1.00, 0.90	0.92, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.84, 0.82, 0.80, 0.82
39	train	1.07, 1.40, 1.40, 1.09	1.00, 0.00, 0.00, 0.89	0.33, 1.00, 1.00, 0.96	0.95, 0.94, 0.94, 0.96	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.95, 0.94, 0.93, 0.94
39	valid	1.10, 1.41, 1.40, 1.20	0.98, 0.00, 0.00, 0.64	0.27, 1.00, 1.00, 0.94	0.92, 0.91, 0.92, 0.94	0.50, 0.50, 0.50, 0.50	0.50, 0.50, 0.50, 0.50	0.81, 0.79, 0.78, 0.80
